neg-F3	neg-F4	neg-M1	neg-M2	pos-F3	pos-F4	pos-M1	pos-M2
ENSMUSG00000000296	555	692	618	716	739	1661	1194	982
ENSMUSG00000000301	125	115	108	100	115	144	123	105
ENSMUSG00000000303	7185	941	2256	4474	10174	4091	5626	6724
ENSMUSG00000000305	449	175	215	439	588	295	365	394
ENSMUSG00000000308	901	540	893	729	982	1366	1509	1180
ENSMUSG00000000317	1503	322	742	958	1370	1465	1294	1307
ENSMUSG00000000318	3	8	8	5	3	2	4	1
ENSMUSG00000000320	223	44	82	246	52	36	22	31
ENSMUSG00000000325	1260	220	857	1033	842	416	484	508
ENSMUSG00000000326	4582	3701	3650	3686	4932	5073	4781	3998
ENSMUSG00000000339	1203	830	909	905	1041	1641	1450	962
ENSMUSG00000000340	389	169	150	354	389	340	131	177
ENSMUSG00000000346	11147	7233	8508	10639	9567	8078	6301	7745
ENSMUSG00000000355	1572	1766	1333	1336	1516	2066	1681	1329
ENSMUSG00000000359	49	41	66	67	3	0	4	2
ENSMUSG00000000365	3	19	10	16	12	12	7	0
ENSMUSG00000000374	629	386	349	854	671	645	554	665
ENSMUSG00000000378	1858	1012	1210	1389	1875	2522	2555	2028
ENSMUSG00000000381	0	0	0	0	0	0	0	0
ENSMUSG00000000384	286	106	267	309	263	406	341	262
ENSMUSG00000000385	974	179	371	677	1303	1225	938	1388
ENSMUSG00000000386	25	19	32	43	70	30	61	42
ENSMUSG00000000392	19	22	76	43	3	21	21	6
ENSMUSG00000000394	7696246	18489120	14014083	8385139	878897	1102296	1001858	533973
ENSMUSG00000000399	3535	3725	3865	3506	2859	4645	3240	3085
ENSMUSG00000000402	17	12	12	10	21	2	15	26
ENSMUSG00000000409	121	294	243	145	42	28	58	42
ENSMUSG00000000411	13	6	0	15	5	0	0	1
ENSMUSG00000000416	153	29	19	165	122	57	167	257
ENSMUSG00000000420	4127	1205	1869	3082	4043	2807	3099	3700
ENSMUSG00000000435	0	7	6	12	16	0	6	1
ENSMUSG00000000439	1248	597	518	949	1122	930	1073	949
ENSMUSG00000000440	446	157	241	334	533	649	679	424
ENSMUSG00000000441	2825	945	1078	1991	2540	1536	1554	1522
ENSMUSG00000000486	13	14	23	25	10	17	4	3
ENSMUSG00000000489	102	28	99	97	43	78	114	58
ENSMUSG00000000530	749	116	446	901	50	5	9	0
ENSMUSG00000000531	290	109	155	299	211	261	245	203
ENSMUSG00000000532	110	101	54	148	78	92	76	87
ENSMUSG00000000538	2768	345	1398	2160	2265	2109	2973	2684
ENSMUSG00000000544	546	207	552	692	504	1248	779	752
ENSMUSG00000000552	61	20	69	67	40	43	67	34
ENSMUSG00000000555	116	22	423	316	1	0	9	14
ENSMUSG00000000560	0	1	0	0	0	0	0	2
ENSMUSG00000000561	2273	1187	1599	1872	2267	2095	2109	2021
ENSMUSG00000000562	13	8	3	26	15	9	15	13
ENSMUSG00000000563	9229	7554	7216	8652	9472	15559	11909	9823
ENSMUSG00000000567	341	114	147	463	166	137	84	123
ENSMUSG00000000568	4397	1996	1862	3157	4266	4444	2986	3318
ENSMUSG00000000579	1628	1798	700	1850	1436	1067	666	789
ENSMUSG00000000581	3124	3520	1990	2969	2732	3299	1935	2061
ENSMUSG00000000594	4703	3814	5096	4677	3373	5614	6296	4338
ENSMUSG00000000600	1637	619	486	1233	1634	1388	1017	986
ENSMUSG00000000605	3245	1001	1408	2626	3899	2656	2523	2801
ENSMUSG00000000606	0	1	1	6	1	1	0	1
ENSMUSG00000000617	6	5	3	9	13	5	8	9
ENSMUSG00000000627	141	67	209	271	41	52	112	38
ENSMUSG00000000628	3	4	7	22	0	0	3	2
ENSMUSG00000000631	857	296	585	1114	742	810	478	680
ENSMUSG00000000632	163	98	129	116	129	78	88	75
ENSMUSG00000000673	0	1	5	0	0	0	1	2
ENSMUSG00000000682	4	20	116	49	0	3	3	0
ENSMUSG00000000686	3846	1035	1351	2435	4473	3296	4133	3535
ENSMUSG00000000690	4	11	5	13	0	4	2	5
ENSMUSG00000000693	121	58	60	101	40	18	11	28
ENSMUSG00000000701	0	0	0	0	0	0	0	0
ENSMUSG00000000706	6	4	0	6	6	2	5	2
ENSMUSG00000000708	587	240	257	508	614	446	399	628
ENSMUSG00000000711	2620	437	1841	2454	1977	2041	2115	2331
ENSMUSG00000000724	4	3	0	5	6	9	5	6
ENSMUSG00000000730	0	0	1	0	0	0	0	0
ENSMUSG00000000731	9	4	13	8	11	7	10	15
ENSMUSG00000000732	45	22	42	71	22	42	3	24
ENSMUSG00000000738	3006	1090	1978	2026	2892	3601	5374	3761
ENSMUSG00000000739	12	10	12	14	1	25	22	11
ENSMUSG00000000740	2906	3593	3416	2826	2101	4293	2646	2407
ENSMUSG00000000743	5678	2252	3415	3855	5362	4480	4822	4673
ENSMUSG00000000751	3433	1298	2497	2560	3638	3432	3966	3165
ENSMUSG00000000753	181	172	271	209	8	0	0	0
ENSMUSG00000000759	1019	253	346	868	1015	655	688	694
ENSMUSG00000000766	24	14	17	25	41	28	29	19
ENSMUSG00000000776	2164	1077	1522	1701	2425	3381	3154	2340
ENSMUSG00000000782	11	4	22	19	12	4	13	0
ENSMUSG00000000787	4649	1514	1372	2985	4657	4115	2316	2696
ENSMUSG00000000791	5	0	5	10	3	11	0	1
ENSMUSG00000000792	6	1	13	27	15	2	7	7
ENSMUSG00000000794	322	147	257	390	385	279	311	291
ENSMUSG00000000804	251	137	120	353	289	261	215	287
ENSMUSG00000000805	700	196	426	810	28	5	8	9
ENSMUSG00000000811	187	76	85	138	144	72	73	88
ENSMUSG00000000817	0	0	0	0	0	0	3	0
ENSMUSG00000000823	1018	316	584	955	847	655	576	595
ENSMUSG00000000826	3286	781	1277	2493	3963	3034	3573	2991
ENSMUSG00000000827	2722	1889	1773	1960	2553	2708	2262	1787
ENSMUSG00000000838	1112	469	496	873	1291	812	663	642
ENSMUSG00000000861	408	265	244	459	165	121	75	103
ENSMUSG00000000869	8	0	2	8	6	6	3	2
ENSMUSG00000000876	526	470	294	459	464	436	393	495
ENSMUSG00000000881	975	145	346	567	1184	771	566	765
ENSMUSG00000000884	346	200	218	257	277	216	246	288
ENSMUSG00000000889	0	0	0	0	11	0	0	0
ENSMUSG00000000901	23	22	103	45	15	11	15	1
ENSMUSG00000000902	2856	1835	2202	2269	2540	2507	2222	1985
ENSMUSG00000000903	6	1	6	5	2	0	6	6
ENSMUSG00000000915	3693	472	1730	2670	3775	1922	3164	3001
ENSMUSG00000000916	699	506	560	767	607	788	660	580
ENSMUSG00000000934	170	175	169	142	151	319	413	245
ENSMUSG00000000938	1	5	0	0	0	2	1	1
ENSMUSG00000000942	7	5	9	11	0	0	0	0
ENSMUSG00000000948	6353	6974	8585	6945	7066	17077	17321	9060
ENSMUSG00000000957	269	175	654	561	50	61	40	48
ENSMUSG00000000958	154	132	146	190	50	25	47	37
ENSMUSG00000000959	801	424	621	645	773	741	644	604
ENSMUSG00000000976	808	444	276	632	1047	543	730	658
ENSMUSG00000000982	6	4	29	0	0	4	0	0
ENSMUSG00000000983	123	79	74	24	0	9	0	5
ENSMUSG00000001014	0	8	11	7	7	36	23	15
ENSMUSG00000001016	2652	1578	1400	1778	2542	1956	1657	1550
ENSMUSG00000001017	3915	1377	1777	3313	4232	3708	2502	2869
ENSMUSG00000001018	1964	1365	1018	1812	1918	1869	1297	1527
ENSMUSG00000001020	124	93	113	134	181	73	59	94
ENSMUSG00000001021	7	4	7	4	5	7	19	3
ENSMUSG00000001023	0	0	0	0	0	0	1	0
ENSMUSG00000001025	166	200	348	266	170	113	79	91
ENSMUSG00000001027	10	2	0	0	3	18	34	15
ENSMUSG00000001029	293	165	175	319	8	43	15	7
ENSMUSG00000001034	364	55	275	342	212	302	208	219
ENSMUSG00000001036	913	299	451	762	666	495	454	446
ENSMUSG00000001039	827	1179	937	881	990	1558	1189	956
ENSMUSG00000001052	1209	348	449	860	1387	1178	1714	1230
ENSMUSG00000001053	214	34	132	146	110	140	151	94
ENSMUSG00000001054	1338	766	748	1053	1584	1507	1597	1219
ENSMUSG00000001056	498	832	635	515	420	706	520	372
ENSMUSG00000001062	677	227	371	616	805	368	482	548
ENSMUSG00000001065	570	101	258	406	396	270	375	319
ENSMUSG00000001076	1	0	0	0	1	0	0	1
ENSMUSG00000001082	1587	797	1339	1524	1878	2404	2293	1862
ENSMUSG00000001089	559	890	198	422	582	326	347	356
ENSMUSG00000001095	2	0	0	0	0	12	5	7
ENSMUSG00000001098	1984	406	1184	1647	1188	998	1054	1020
ENSMUSG00000001100	2822	1342	1810	2156	2841	2861	3947	2794
ENSMUSG00000001103	0	0	0	1	0	0	0	0
ENSMUSG00000001105	5797	6980	6281	5955	6640	11234	9540	7259
ENSMUSG00000001119	684	146	943	1230	0	10	0	0
ENSMUSG00000001120	3095	1013	1602	2282	3981	2809	3103	2847
ENSMUSG00000001123	471	309	490	596	75	33	15	53
ENSMUSG00000001127	10906	5941	6251	9224	13081	13990	14664	12127
ENSMUSG00000001128	34	16	53	92	15	21	22	13
ENSMUSG00000001131	16	30	147	35	6	0	0	0
ENSMUSG00000001134	620	787	592	472	557	786	646	504
ENSMUSG00000001138	1040	147	546	913	862	617	622	905
ENSMUSG00000001143	3475	1577	2541	3120	2849	4996	4404	3704
ENSMUSG00000001150	712	117	344	616	508	469	603	757
ENSMUSG00000001151	588	278	207	329	664	215	273	331
ENSMUSG00000001155	9	3	2	12	7	4	3	5
ENSMUSG00000001156	920	304	534	924	884	545	481	611
ENSMUSG00000001157	1170	426	508	921	1290	1193	953	993
ENSMUSG00000001158	2547	3577	2539	2680	2225	3572	2189	2043
ENSMUSG00000001166	56	65	44	81	132	50	76	53
ENSMUSG00000001168	0	0	0	1	0	0	0	0
ENSMUSG00000001173	3629	1269	1815	4098	1939	3210	3345	2721
ENSMUSG00000001175	62678	88742	59861	62056	52260	102849	70707	58852
ENSMUSG00000001211	4341	1879	2994	3737	4951	5491	6312	4997
ENSMUSG00000001225	177	199	172	157	159	205	125	135
ENSMUSG00000001227	375	42	386	419	332	219	301	367
ENSMUSG00000001228	26	9	30	18	74	46	30	84
ENSMUSG00000001229	3826	651	2181	3752	3978	2477	3033	2556
ENSMUSG00000001240	1377	1497	1277	1268	1078	3754	2679	1857
ENSMUSG00000001247	5790	3197	4814	4641	5529	6964	7515	5378
ENSMUSG00000001248	5703	1182	3458	4812	6109	4428	5405	5058
ENSMUSG00000001249	76	51	60	78	91	74	110	76
ENSMUSG00000001260	6	17	0	43	7	3	5	18
ENSMUSG00000001270	8944	4255	9198	7132	10160	18791	20390	13658
ENSMUSG00000001280	422	143	181	332	304	272	181	264
ENSMUSG00000001281	2	1	37	30	1	0	0	0
ENSMUSG00000001285	1121	985	991	879	859	1415	1077	868
ENSMUSG00000001288	312	82	326	358	153	138	159	95
ENSMUSG00000001289	2685	3249	2373	2159	2283	3255	2503	2070
ENSMUSG00000001300	377	56	141	273	41	14	10	38
ENSMUSG00000001305	608	676	482	494	536	605	359	393
ENSMUSG00000001313	348	213	256	336	208	212	259	210
ENSMUSG00000001323	882	390	517	747	847	795	817	874
ENSMUSG00000001333	14	19	35	26	32	31	54	42
ENSMUSG00000001334	327	263	254	235	311	253	230	196
ENSMUSG00000001348	12	27	123	19	4	0	15	15
ENSMUSG00000001349	5	6	0	24	0	1	1	7
ENSMUSG00000001366	3432	1805	1602	2986	4745	3688	4190	3352
ENSMUSG00000001376	1942	563	670	1696	2412	2296	2015	1654
ENSMUSG00000001379	784	326	456	599	685	858	828	580
ENSMUSG00000001380	2797	1376	2082	2251	3446	4987	4280	3036
ENSMUSG00000001383	2133	1656	2091	1998	2187	2650	1712	1828
ENSMUSG00000001403	110	41	87	103	180	142	46	151
ENSMUSG00000001415	832	256	722	962	703	1107	992	969
ENSMUSG00000001416	6778	3545	4242	6180	6636	6833	5270	4853
ENSMUSG00000001417	1	9	23	10	22	33	52	1
ENSMUSG00000001418	6803	4359	6629	6173	6616	10658	11248	7994
ENSMUSG00000001419	2572	502	1600	1923	2457	2297	2406	2122
ENSMUSG00000001420	6	1	8	7	17	13	5	14
ENSMUSG00000001424	17610	3438	12536	13849	15441	16018	20744	15728
ENSMUSG00000001435	107	37	350	196	91	500	421	113
ENSMUSG00000001436	489	210	463	408	525	465	474	575
ENSMUSG00000001440	1310	570	756	1339	1143	1487	1150	1163
ENSMUSG00000001441	2170	1147	798	1590	2545	1409	1422	1451
ENSMUSG00000001444	0	0	0	0	0	0	2	1
ENSMUSG00000001445	3016	1614	2384	2305	3309	3728	4474	3317
ENSMUSG00000001467	1951	641	1003	1549	2740	2454	2313	1867
ENSMUSG00000001472	10759	3339	5885	8818	13600	11117	11867	11025
ENSMUSG00000001473	1929	2381	2418	1743	1412	3484	3797	2101
ENSMUSG00000001482	1806	392	1111	1353	2183	1822	2541	1788
ENSMUSG00000001493	762	291	295	388	383	370	100	182
ENSMUSG00000001494	20	1	1	8	0	0	0	1
ENSMUSG00000001496	0	0	0	5	4	3	1	3
ENSMUSG00000001497	1	3	0	2	0	1	1	2
ENSMUSG00000001504	1691	1120	1278	1242	274	203	168	111
ENSMUSG00000001506	2010	333	5165	3228	30	35	34	28
ENSMUSG00000001507	935	180	708	904	823	700	642	697
ENSMUSG00000001508	8	2	2	5	4	0	0	1
ENSMUSG00000001510	2	10	8	6	14	5	7	5
ENSMUSG00000001517	59	25	38	92	64	53	86	120
ENSMUSG00000001518	1741	854	1170	1343	1614	1167	1111	1282
ENSMUSG00000001520	292	200	255	387	75	93	57	99
ENSMUSG00000001521	133	85	68	135	127	149	80	101
ENSMUSG00000001524	477	246	368	380	409	322	319	294
ENSMUSG00000001525	2466	1733	1933	1949	2075	2549	2144	2020
ENSMUSG00000001542	5599	1437	2781	5237	6527	11650	9684	8602
ENSMUSG00000001552	3285	453	2310	3240	1634	1217	1547	1078
ENSMUSG00000001555	118	55	135	189	21	34	37	29
ENSMUSG00000001558	30	34	19	26	50	45	31	50
ENSMUSG00000001566	667	196	288	591	1041	1130	741	1044
ENSMUSG00000001569	1161	424	557	895	1124	1163	1003	854
ENSMUSG00000001576	9814	3360	7398	8700	8699	17032	19486	14626
ENSMUSG00000001583	694	149	348	517	764	579	530	461
ENSMUSG00000001588	9	6	20	31	1	3	4	7
ENSMUSG00000001604	63	70	116	88	65	255	240	134
ENSMUSG00000001622	2415	4555	6105	1882	3052	24524	20810	6153
ENSMUSG00000001627	2686	1489	1747	2569	3384	3641	3825	2811
ENSMUSG00000001630	1748	717	1166	2020	1515	2117	1712	1311
ENSMUSG00000001632	2047	1113	1412	1524	1844	1943	1485	1666
ENSMUSG00000001642	3101	2067	2297	2664	3636	3678	3413	2842
ENSMUSG00000001655	3	1	1	3	6	1	0	1
ENSMUSG00000001656	1	1	0	3	0	0	0	0
ENSMUSG00000001657	3	4	1	6	7	2	5	3
ENSMUSG00000001661	26	14	29	28	13	27	11	31
ENSMUSG00000001663	1241	1630	1068	1311	1115	1119	674	944
ENSMUSG00000001665	52	65	82	88	62	20	33	69
ENSMUSG00000001666	744	680	685	687	767	745	529	675
ENSMUSG00000001670	1921	577	793	1047	1763	1379	1089	1347
ENSMUSG00000001672	1624	697	890	1148	1554	1749	1459	1551
ENSMUSG00000001674	1458	941	1317	1409	1939	2488	1872	1486
ENSMUSG00000001687	23044	9387	11714	17387	23593	19080	16719	15604
ENSMUSG00000001700	5984	2526	3047	4770	6719	5278	5557	5838
ENSMUSG00000001707	908	848	684	821	968	1325	947	762
ENSMUSG00000001729	6915	1636	3977	4842	7731	5192	6899	5922
ENSMUSG00000001739	88	26	48	39	3	5	10	4
ENSMUSG00000001741	12	22	24	42	14	10	6	14
ENSMUSG00000001750	362	119	268	333	192	204	255	248
ENSMUSG00000001751	2673	547	2527	2387	2579	3835	4264	3435
ENSMUSG00000001755	2897	1055	2333	2846	3250	3507	3948	2848
ENSMUSG00000001761	125	36	97	234	36	66	45	35
ENSMUSG00000001763	2659	1250	1217	1889	2586	2792	2360	2388
ENSMUSG00000001767	1392	549	751	1028	1322	1744	1312	1117
ENSMUSG00000001768	631	114	283	523	544	323	324	438
ENSMUSG00000001773	1	1	0	1	0	0	0	0
ENSMUSG00000001774	2899	2039	2065	3764	2798	4907	2802	3060
ENSMUSG00000001783	6111	3561	4536	5215	6337	7537	6704	5381
ENSMUSG00000001785	1710	575	1254	1228	2130	2134	1888	1457
ENSMUSG00000001786	1951	987	1270	1408	2263	2175	2152	1973
ENSMUSG00000001794	2896	2048	2748	2532	2303	3835	3637	2657
ENSMUSG00000001802	2311	287	1865	2496	1887	2058	2079	1920
ENSMUSG00000001804	0	0	0	0	1	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0	0	0
ENSMUSG00000001819	2	0	0	0	0	0	2	0
ENSMUSG00000001823	0	0	0	0	0	0	0	1
ENSMUSG00000001827	2850	2803	2428	3031	2019	1746	1154	1402
ENSMUSG00000001829	1899	561	1261	1379	2064	2134	2228	2012
ENSMUSG00000001833	9697	6373	5627	10224	8854	11273	6916	7314
ENSMUSG00000001844	1280	935	839	1019	1176	1072	1069	931
ENSMUSG00000001847	9364	3637	6397	9116	9350	12501	10659	8910
ENSMUSG00000001855	975	529	386	724	857	829	720	715
ENSMUSG00000001864	8	10	0	6	9	5	0	0
ENSMUSG00000001865	0	0	0	18	0	0	0	0
ENSMUSG00000001870	230	89	168	269	134	75	99	89
ENSMUSG00000001891	2227	987	1236	2144	2191	2676	1579	2003
ENSMUSG00000001901	4013	1288	2826	3522	3519	3851	4935	3806
ENSMUSG00000001909	893	409	592	812	745	753	968	712
ENSMUSG00000001910	470	95	327	540	420	463	450	452
ENSMUSG00000001911	453	156	253	404	584	176	201	302
ENSMUSG00000001918	709	420	446	864	345	669	847	698
ENSMUSG00000001924	9110	1481	5651	8210	9598	9840	10877	9534
ENSMUSG00000001930	111	54	43	169	60	54	39	54
ENSMUSG00000001942	1191	409	695	900	1087	1126	1108	959
ENSMUSG00000001943	49	34	33	58	21	16	46	18
ENSMUSG00000001946	1655	575	1240	1729	389	279	280	336
ENSMUSG00000001948	408	639	301	349	379	510	346	325
ENSMUSG00000001962	1328	1024	982	1196	1383	1391	1309	881
ENSMUSG00000001964	595	396	1121	1337	404	1246	918	697
ENSMUSG00000001983	120	72	113	139	139	216	136	123
ENSMUSG00000001985	5	10	1	11	3	9	8	7
ENSMUSG00000001986	1903	986	1007	1409	899	2272	2090	1543
ENSMUSG00000001988	38	5	14	18	42	31	34	46
ENSMUSG00000001995	170	34	79	287	50	129	67	64
ENSMUSG00000001998	331	146	108	315	394	286	305	155
ENSMUSG00000001999	455	520	400	383	331	267	194	271
ENSMUSG00000002006	64	18	61	83	66	65	43	96
ENSMUSG00000002007	56	42	57	56	28	19	37	11
ENSMUSG00000002010	5580	3735	4403	5161	5779	6580	5202	4814
ENSMUSG00000002012	668	561	573	491	540	663	705	499
ENSMUSG00000002014	20153	29336	24532	18262	20018	50856	39983	27425
ENSMUSG00000002015	7369	7816	7304	6952	6786	14187	12495	8432
ENSMUSG00000002017	1904	914	700	1508	2124	3060	2556	2108
ENSMUSG00000002020	12	3	8	47	7	32	23	1
ENSMUSG00000002028	1205	700	456	1255	1023	869	690	554
ENSMUSG00000002031	1572	1318	1216	1412	1258	1808	1645	1437
ENSMUSG00000002032	892	219	405	793	968	410	451	559
ENSMUSG00000002033	5	2	16	3	3	1	3	0
ENSMUSG00000002043	1285	2514	1363	1306	1222	1858	1527	1326
ENSMUSG00000002052	1101	521	506	996	1153	944	912	1041
ENSMUSG00000002055	58	8	11	27	73	13	10	18
ENSMUSG00000002057	62	5	21	36	48	10	90	52
ENSMUSG00000002058	645	549	584	620	582	477	414	405
ENSMUSG00000002059	1239	1061	1190	1147	1130	2084	1672	1321
ENSMUSG00000002064	3510	3644	2990	3062	3397	5564	4293	3571
ENSMUSG00000002068	195	124	208	189	241	549	423	420
ENSMUSG00000002076	6	11	27	18	3	12	28	25
ENSMUSG00000002083	538	256	423	441	529	332	334	246
ENSMUSG00000002100	0	0	0	2	0	0	0	0
ENSMUSG00000002102	4338	3962	3787	4155	4326	6149	4841	4238
ENSMUSG00000002103	2401	713	1046	1719	2552	1856	2340	2133
ENSMUSG00000002104	2	3	5	1	0	3	1	15
ENSMUSG00000002105	2708	979	2438	2555	2973	3428	4677	3114
ENSMUSG00000002107	946	570	505	1162	949	666	485	488
ENSMUSG00000002108	735	447	692	606	780	1200	1369	964
ENSMUSG00000002109	235	111	56	184	179	137	102	134
ENSMUSG00000002111	16	9	84	34	6	4	3	3
ENSMUSG00000002129	2538	568	1566	1945	2399	2043	2196	1719
ENSMUSG00000002147	1899	325	1030	1739	1353	1335	1342	1283
ENSMUSG00000002190	6	16	9	0	49	32	9	14
ENSMUSG00000002204	44	23	68	72	29	25	19	18
ENSMUSG00000002205	1611	814	1159	1247	1808	1385	1619	1254
ENSMUSG00000002210	865	212	563	697	842	584	556	591
ENSMUSG00000002221	3483	523	1127	2608	4050	3006	3528	3164
ENSMUSG00000002222	1329	522	768	1640	749	993	715	916
ENSMUSG00000002227	846	225	452	892	725	327	220	424
ENSMUSG00000002228	32	17	43	16	8	8	76	18
ENSMUSG00000002233	658	412	651	588	166	183	226	169
ENSMUSG00000002240	0	0	0	0	0	0	0	0
ENSMUSG00000002249	23	13	31	17	21	11	4	7
ENSMUSG00000002250	84	53	109	81	50	67	51	83
ENSMUSG00000002257	106	39	61	83	63	23	79	79
ENSMUSG00000002265	28452	7141	7271	21746	26103	19512	17819	19894
ENSMUSG00000002266	150	65	86	203	72	111	79	39
ENSMUSG00000002274	23	28	20	42	8	29	22	20
ENSMUSG00000002279	2402	941	2172	1695	2214	3730	4612	3006
ENSMUSG00000002280	1269	685	793	993	1545	1328	1244	1223
ENSMUSG00000002289	14	17	140	103	0	5	42	0
ENSMUSG00000002297	110	68	56	114	97	118	70	88
ENSMUSG00000002307	1398	495	786	1087	1123	1220	1240	817
ENSMUSG00000002308	1031	884	885	1102	846	1582	1156	1074
ENSMUSG00000002319	2744	541	1885	2782	3394	3310	4838	3349
ENSMUSG00000002320	5183	1566	2314	3890	6338	5749	7132	5308
ENSMUSG00000002324	179	108	137	203	328	435	185	144
ENSMUSG00000002325	467	202	391	591	190	157	156	221
ENSMUSG00000002326	979	808	796	937	819	1153	901	895
ENSMUSG00000002329	1536	975	952	1213	1751	1829	1610	1536
ENSMUSG00000002332	1217	1177	1318	1064	1422	2428	3247	1795
ENSMUSG00000002341	36	16	4	12	23	23	8	13
ENSMUSG00000002342	2926	1157	2260	2378	2598	2816	3197	2878
ENSMUSG00000002343	725	197	515	507	654	582	938	661
ENSMUSG00000002345	533	664	530	529	505	748	695	522
ENSMUSG00000002346	1117	259	1008	1120	1140	957	972	1065
ENSMUSG00000002365	1595	602	811	1340	1545	1064	1408	1010
ENSMUSG00000002372	3726	1249	2118	2900	3447	2723	3329	2913
ENSMUSG00000002379	3940	6161	4278	3636	3729	5875	4919	3811
ENSMUSG00000002384	2	0	6	2	7	3	4	3
ENSMUSG00000002393	2188	633	1902	2248	2138	2424	2277	2160
ENSMUSG00000002395	1426	1704	1242	1208	1247	1470	1280	1046
ENSMUSG00000002396	400	233	250	485	447	335	331	468
ENSMUSG00000002409	454	123	528	424	352	370	425	404
ENSMUSG00000002413	1981	564	1026	2273	2327	2431	1761	2344
ENSMUSG00000002416	3417	4320	2826	2782	3057	3738	3020	2740
ENSMUSG00000002428	2660	1024	1309	2275	2576	2882	2260	2398
ENSMUSG00000002455	3917	927	2136	3163	4145	4023	4665	3672
ENSMUSG00000002458	359	303	357	291	312	344	294	264
ENSMUSG00000002459	70	47	39	81	34	92	41	36
ENSMUSG00000002475	814	314	425	589	886	1355	1399	913
ENSMUSG00000002477	914	1409	896	844	808	980	660	599
ENSMUSG00000002486	416	254	202	340	376	385	359	323
ENSMUSG00000002489	91	48	43	98	32	28	31	87
ENSMUSG00000002496	1730	177	913	1648	1283	1181	1491	1284
ENSMUSG00000002500	3	4	2	1	7	6	6	1
ENSMUSG00000002504	3015	1303	2957	3325	1030	2165	2102	1468
ENSMUSG00000002524	9171	5460	6042	7473	9005	8971	9073	7393
ENSMUSG00000002546	3001	451	1811	2354	2678	2362	3351	2738
ENSMUSG00000002550	2797	1414	1674	2020	2514	2641	2889	2314
ENSMUSG00000002565	343	264	279	396	77	96	74	56
ENSMUSG00000002578	313	91	208	267	187	127	176	148
ENSMUSG00000002580	4185	6019	4559	3963	4363	6974	5735	4751
